J1,,377871.000,826050.008
J2,,377932.154,826208.619
J3,,377803.119,826258.449
J4,,377781.854,826266.164
J5,,377760.502,826273.631
J6,,377739.063,826280.846
J7,,377717.540,826287.810
J8,,377702.672,826292.386
J9,,377687.727,826296.705
J10,,377672.709,826300.765
J11,,377657.623,826304.566
J12,,377642.475,826308.108
J13,,377627.267,826311.387
J14,,377624.742,826294.569
J15,,377622.074,826277.772
J16,,377619.265,826260.998
J17,,377616.313,826244.248
J18,,377613.222,826227.524
J19,,377609.988,826210.827
J20,,377606.615,826194.157
J21,,377603.100,826177.516
J22,,377599.444,826160.907
J23,,377595.649,826144.328
J24,,377614.417,826139.912
J25,,377633.094,826135.130
J26,,377651.682,826130.011
J27,,377670.174,826124.556
J28,,377688.565,826118.767
J29,,377706.847,826112.645
J30,,377725.015,826106.194
J31,,377743.064,826099.414
J1,,377871.000,826050.009
